Altium Designer Pick and Place Locations
C:\Git\OpenNerve-main\OpenNerve-main\IPG and Charger\IPG PCBA\Source Files (Altium)\Layout\Output\Assembly\Pick Place\Pick Place for HORNET-1-IPG(Roedent Study-HORNET-1-IPG).txt

========================================================================================================================
File Design Information:

Date:       11/11/24
Time:       15:58
Revision:   Not in VersionControl
Variant:    Roedent Study-HORNET-1-IPG
Units used: mil

Designator Center-X(mil) Center-Y(mil) Layer       Rotation 
L300       -150.000      701.000       TopLayer    90       
J201       1440.158      1626.732      TopLayer    90       
R1211      -1523.623     -162.000      TopLayer    270      
R1210      -976.379      -158.000      TopLayer    270      
R1205      -1523.623     194.000       TopLayer    270      
D1016      511.000       2161.428      TopLayer    270      
C1301      -381.332      1735.326      TopLayer    90       
C1300      -657.306      1735.326      TopLayer    90       
C1207      -1422.000     -19.000       TopLayer    90       
C1200      -1122.000     -18.000       TopLayer    90       
C704       -271.674      936.244       TopLayer    90       
C703       -188.006      1034.296      TopLayer    180      
C602       543.649       619.154       TopLayer    180      
C120       738.000       1251.966      TopLayer    180      
C307       -64.248       540.828       TopLayer    90       
C306       -25.023       618.276       TopLayer    90       
C304       699.000       529.000       TopLayer    0        
C119       619.058       626.840       TopLayer    0        
J400       -506.807      8.000         TopLayer    180      
J420       -152.307      8.000         TopLayer    180      
J423       507.793       8.000         TopLayer    180      
J422       153.293       8.000         TopLayer    180      
J1009      -308.843      2310.918      TopLayer    90       
C1016      558.000       2161.311      TopLayer    270      
C814       456.693       1570.866      TopLayer    270      
R854       47.244        1783.464      TopLayer    270      
R838       -6.620        1221.509      TopLayer    0        
C829       -6.620        1313.133      TopLayer    0        
J418       1143.732      2163.000      TopLayer    90       
C303       -366.140      311.024       TopLayer    0        
C301       -366.141      511.811       TopLayer    180      
C201       602.360       1761.917      TopLayer    180      
C701       -83.629       1374.086      TopLayer    180      
D307       -506.000      530.000       TopLayer    180      
D1204      -1523.622     -268.850      TopLayer    90       
D1203      -976.378      -268.850      TopLayer    90       
D1202      -1523.622     81.544        TopLayer    90       
M411       137.795       1027.559      TopLayer    0        
TP1203     -600.000      900.000       TopLayer    90       
TP1200     -600.000      1000.000      TopLayer    90       
R1204      -1047.244     767.717       TopLayer    270      
R1200      -1082.678     767.717       TopLayer    270      
R1303      -381.330      1791.036      TopLayer    270      
R1301      -657.305      1791.036      TopLayer    270      
D815       63.491        1441.800      TopLayer    180      
D814       183.982       1442.069      TopLayer    0        
D813       -82.678       1618.110      TopLayer    180      
D812       -82.678       1724.410      TopLayer    180      
D811       63.507        1406.464      TopLayer    0        
D810       183.794       1406.565      TopLayer    180      
D809       -23.622       1618.110      TopLayer    180      
D808       -23.622       1724.410      TopLayer    180      
D807       417.322       1629.921      TopLayer    90       
D806       322.834       1629.921      TopLayer    90       
D805       562.992       1314.961      TopLayer    90       
D804       460.630       1314.961      TopLayer    90       
D803       417.322       1570.866      TopLayer    90       
D802       322.834       1570.866      TopLayer    90       
D801       562.992       1251.969      TopLayer    90       
D800       460.630       1251.969      TopLayer    90       
U200       594.487       1539.832      TopLayer    270      
C210       670.410       1610.724      TopLayer    90       
Y200       683.599       1547.144      TopLayer    270      
Y201       602.358       1445.344      TopLayer    180      
C200       602.360       1669.292      TopLayer    180      
C218       523.622       1539.370      TopLayer    90       
C217       622.048       1630.383      TopLayer    270      
C216       684.596       1466.000      TopLayer    180      
C213       682.979       1407.901      TopLayer    270      
C214       527.558       1444.882      TopLayer    90       
C211       684.406       1497.777      TopLayer    180      
C219       629.921       1397.638      TopLayer    0        
C215       574.802       1397.638      TopLayer    180      
L200       586.612       1715.457      TopLayer    90       
L201       602.951       1801.035      TopLayer    180      
M200       724.409       1420.473      TopLayer    90       
TP200      700.000       1400.000      BottomLayer 270      
R418       55.118        -20.818       TopLayer    0        
C827       82.677        1795.275      TopLayer    270      
U801       112.000       1267.000      TopLayer    270      
U101       515.748       877.953       TopLayer    180      
TP1206     -700.000      1200.000      BottomLayer 90       
TP1205     -699.999      1100.000      BottomLayer 90       
TP1202     -599.999      1300.000      BottomLayer 90       
TP1201     -599.999      1200.000      BottomLayer 90       
TP1103     400.001       1600.000      BottomLayer 90       
TP1101     300.001       1800.000      BottomLayer 90       
TP805      100.001       1300.000      BottomLayer 90       
TP804      200.001       1600.000      BottomLayer 90       
TP803      500.001       1200.000      BottomLayer 90       
TP802      300.001       1300.000      BottomLayer 90       
TP801      400.001       1500.000      BottomLayer 90       
TP800      500.001       1100.000      BottomLayer 90       
TP703      -199.999      1100.000      BottomLayer 90       
TP435      400.001       300.000       BottomLayer 90       
TP434      -199.999      1200.000      BottomLayer 90       
TP433      100.001       700.000       BottomLayer 90       
TP432      100.001       600.000       BottomLayer 90       
TP431      200.001       1100.000      BottomLayer 90       
TP430      300.001       400.000       BottomLayer 90       
Q1103      385.826       1704.036      TopLayer    90       
Q1102      448.818       1827.460      TopLayer    270      
Q1101      448.818       1764.468      TopLayer    270      
D1102      409.448       1826.772      TopLayer    270      
D1101      409.448       1763.780      TopLayer    270      
C1102      452.756       1704.724      TopLayer    270      
R1106      484.252       1704.725      TopLayer    90       
U1302      -271.654      1775.259      TopLayer    0        
U1301      -547.782      1775.259      TopLayer    0        
U1203      -1346.000     -29.000       TopLayer    0        
U1202      -1048.001     -27.765       TopLayer    0        
U1201      -1100.000     618.110       TopLayer    0        
U1101      330.709       1704.725      TopLayer    90       
U803       110.236       1661.418      TopLayer    0        
U802       393.701       1492.126      TopLayer    0        
U704       -188.977      1153.543      TopLayer    0        
R1306      -20.984       1842.520      TopLayer    90       
R1304      -86.614       1842.913      TopLayer    90       
R1302      -151.128      1842.520      TopLayer    90       
R1300      -157.480      1787.402      TopLayer    90       
R1208      -1728.346     354.331       TopLayer    270      
R1207      -1118.110     767.717       TopLayer    270      
R1206      -1153.544     767.717       TopLayer    270      
R1203      -1090.552     468.504       TopLayer    270      
R1202      -1452.756     480.315       TopLayer    90       
R1201      -1452.000     703.741       TopLayer    90       
R1105      421.260       1704.725      TopLayer    270      
R1104      484.252       1826.772      TopLayer    90       
R1103      374.016       1826.772      TopLayer    270      
R1102      484.252       1763.779      TopLayer    90       
R1101      374.016       1763.779      TopLayer    270      
R861       188.977       1534.449      TopLayer    270      
R860       94.488        1535.433      TopLayer    90       
R859       110.236       1492.126      TopLayer    180      
R858       125.984       1535.433      TopLayer    270      
R857       231.337       1681.102      TopLayer    0        
R856       157.480       1535.433      TopLayer    90       
R855       -47.244       1783.464      TopLayer    90       
R853       15.748        1783.464      TopLayer    90       
R852       -78.741       1582.678      TopLayer    0        
R851       -19.685       1653.544      TopLayer    0        
R850       -19.685       1688.976      TopLayer    0        
R849       -74.803       1688.976      TopLayer    180      
R848       -74.803       1653.544      TopLayer    180      
R847       129.921       1803.150      TopLayer    180      
R846       129.921       1771.654      TopLayer    0        
R845       468.503       1464.568      TopLayer    180      
R844       468.503       1433.070      TopLayer    0        
R843       413.385       1433.070      TopLayer    180      
R842       413.385       1401.574      TopLayer    0        
R841       452.756       1629.921      TopLayer    270      
R840       385.826       1574.803      TopLayer    270      
R839       354.330       1574.803      TopLayer    270      
R837       354.330       1629.921      TopLayer    90       
R836       385.826       1629.921      TopLayer    90       
R835       353.463       1421.260      TopLayer    180      
R834       276.654       1479.331      TopLayer    270      
R833       245.624       1479.331      TopLayer    90       
R832       251.968       1535.433      TopLayer    90       
R831       283.464       1535.433      TopLayer    270      
R830       353.463       1390.528      TopLayer    0        
M1306      11.489        1846.556      TopLayer    90       
